December ‘19,4th,11th,18th,27th,
January ‘20,3rd,9th,15th,22nd,29th
February ‘20,5th,12th,19th,26th,
March ‘20,4th,11th,18th,25th,
April ‘20,1st,8th,15th,22nd,29th
May ‘20,6th,13th,20th,27th,
June ‘20,3rd,10th,17th,24th,
July ‘20,1st,8th,15th,22nd,29th
August ‘20,5th,12th,19th,26th,
September ‘20,2nd,9th,16th,23rd,30th
October ‘20,7th,14th,21st,28th,
November ‘20,4th,11th,18th,25th,
December ‘20,2nd,9th,16th,23rd,
