December ‘19,3rd,10th,17th,24th,
January ‘20,2nd,8th,14th,21st,28th
February ‘20,4th,11th,18th,25th,
March ‘20,3rd,10th,17th,24th,31st
April ‘20,7th,14th,21st,28th,
May ‘20,5th,12th,19th,26th,
June ‘20,2nd,9th,16th,23rd,30th
July ‘20,7th,14th,21st,28th,
August ‘20,4th,11th,18th,25th,
September ‘20,1st,8th,15th,22nd,29th
October ‘20,6th,13th,20th,27th,
November ‘20,3rd,10th,17th,24th,
December ‘20,1st,8th,15th,22nd,
