December ‘19,2nd,9th,16th,23rd,31st
January ‘20,7th,13th,20th,27th,
February ‘20,3rd,10th,17th,24th,
March ‘20,2nd,9th,16th,23rd,30th
April ‘20,6th,13th,20th,27th,
May ‘20,4th,11th,18th,25th,
June ‘20,1st,8th,15th,22nd,29th
July ‘20,6th,13th,20th,27th,
August ‘20,3rd,10th,17th,24th,31st
September ‘20,7th,14th,21st,28th,
October ‘20,5th,12th,19th,26th,
November ‘20,2nd,9th,16th,23rd,30th
December ‘20,7th,14th,21st,,
