December ‘18,7th,14th,21st,31st,
January ‘19,7th,12th,18th,25th,
February ‘19,1st,8th,15th,22nd,
March ‘19,1st,8th,15th,22nd,29th
April ‘19,5th,12th,19th,26th,
May ‘19,3rd,10th,17th,24th,31st
June ‘19,7th,14th,21st,28th,
July ‘19,5th,12th,19th,26th,
August ‘19,2nd,9th,16th,23rd,30th
September ‘19,6th,13th,20th,27th,
October ‘19,4th,11th,18th,25th,
November ‘19,1st,8th,15th,22nd,29th
December ‘19,6th,13th,20th,,
