December ‘18,3rd,10th,17th,24th,
January ‘19,2nd,8th,14th,21st,28th
February ‘19,4th,11th,18th,25th,
March ‘19,4th,11th,18th,25th,
April ‘19,1st,8th,15th,22nd,29th
May ‘19,6th,13th,20th,27th,
June ‘19,3rd,10th,17th,24th,
July ‘19,1st,8th,15th,22nd,29th
August ‘19,5th,12th,19th,26th,
September ‘19,2nd,9th,16th,23rd,30th
October ‘19,7th,14th,21st,28th,
November ‘19,4th,11th,18th,25th,
December ‘19,2nd,9th,16th,,
