December ‘18,4th,11th,18th,27th,
January ‘19,3rd,9th,15th,22nd,29th
February ‘19,5th,12th,19th,26th,
March ‘19,5th,12th,19th,26th,
April ‘19,2nd,9th,16th,23rd,30th
May ‘19,7th,14th,21st,28th,
June ‘19,4th,11th,18th,25th,
July ‘19,2nd,9th,16th,23rd,30th
August ‘19,6th,13th,20th,27th,
September ‘19,3rd,10th,17th,24th,
October ‘19,1st,8th,15th,22nd,29th
November ‘19,5th,12th,19th,26th,
December ‘19,3rd,10th,17th,,
